persona_id,name,age,specialty,career_stage,monthly_income_range,investable_assets_range,current_support,primary_need,primary_pain,secondary_pain,pain_severity,urgency,financial_sophistication,communication_style,decision_style,hidden_objection,expected_fit,expected_service,ideal_next_action,scenario_summary,opening_message
MED_018,Thiago,35,Intensive Care,career_consolidation,40k_60k,100k_500k,none,financial_planning,burnout_and_delegation,irregular_income,7,8,low,concise,fast,time,medium,financial_planning,continue_discovery,"Multiple shifts create variable income and a strong desire for delegation, yet he resists any process that consumes time.","Trabalho em vários plantões, minha renda muda todo mês e não tenho tempo nem para entender onde estou financeiramente."
MED_019,Carolina,61,Endocrinology,wealth_patrimonial,60k_100k,1m_3m,self_managed,both,retirement_uncertainty,lack_of_continuity_plan,7,6,high,reflective,consensus,bad_previous_experience,medium,both,continue_discovery,"Wants retirement and continuity planning around self-managed assets, but a poor planner experience makes her cautious.","Quero me preparar para diminuir o consultório, mas uma experiência ruim com planejamento me deixou bastante cautelosa."
MED_020,André,37,Orthopedics,career_consolidation,40k_60k,500k_1m,investment_advisor,both,home_purchase_tradeoff,portfolio_liquidity_uncertainty,6,5,medium,direct,pragmatic,wants_immediate_recommendation,medium,both,continue_discovery,"Needs to coordinate a home purchase with existing investments but opens by demanding an immediate liquidation recommendation.","Tenho investimentos e quero comprar um imóvel. Quais aplicações devo vender primeiro para dar a entrada?"
MED_021,Larissa,26,General Practice,early_career,15k_25k,under_50k,none,financial_planning,basic_budgeting,none,4,3,low,informal,fast,not_priority,low,financial_planning,nurture_or_close,"Has mild organization pain and curiosity but no urgency or current willingness to engage professional support.","Queria algumas dicas para controlar melhor os gastos, mas não estou procurando contratar nada agora."
MED_022,João,32,Anesthesiology,early_career,25k_40k,50k_100k,self_managed,investment_advisory,allocation_uncertainty,none,4,3,medium,objective,analytical,wants_free_advice,low,investment_advisory,nurture_or_close,"Has a small growing portfolio and general uncertainty but primarily wants free education and declines a professional process.","Comecei a investir e queria uma análise gratuita da minha carteira, sem falar com consultor."
MED_023,Isabela,48,Pediatrics,high_income,40k_60k,500k_1m,investment_advisor,both,possible_support_gap,none,4,2,medium,reserved,consensus,existing_advisor,low,both,nurture_or_close,"Has adequate existing support and only vague curiosity about integration; no clear pain, urgency, or intent to change.","Já tenho assessor e está tudo razoavelmente bem. Só fiquei curiosa para saber como planejamento e investimentos poderiam conversar."
MED_024,Eduardo,30,Cardiology,early_career,25k_40k,100k_500k,self_managed,investment_advisory,market_anxiety,none,5,4,high,concise,fast,do_it_myself,low,investment_advisory,nurture_or_close,"Short-term market anxiety drives contact, but he insists on self-management and shows little interest in professional support.","Minha carteira caiu este mês. Quero entender o que aconteceu, mas prefiro continuar cuidando sozinho."
MED_025,Natália,43,Radiology,high_income,60k_100k,500k_1m,accountant,financial_planning,financial_organization_curiosity,none,3,2,medium,objective,pragmatic,not_priority,low,financial_planning,nurture_or_close,"Finances are stable and accountant-supported; she has no material pain and only low-priority curiosity about planning.","Minha vida financeira está estável e meu contador me ajuda. Queria apenas conhecer o que um planejador faz."
MED_026,Caio,28,General Practice,early_career,15k_25k,under_50k,none,out_of_scope,trading_signals,none,2,9,medium,direct,fast,wants_immediate_recommendation,no_fit,no_current_fit,close_helpfully,"Only wants daily short-term trading signals and explicitly rejects professional planning or advisory support.","Vocês mandam sinais diários de compra e venda para eu fazer day trade?"
MED_027,Valéria,50,Dermatology,wealth_patrimonial,100k_plus,3m_plus,private_bank,out_of_scope,tax_evasion,none,8,8,high,guarded,pragmatic,trust,no_fit,no_current_fit,close_helpfully,"Asks for methods to conceal assets and reduce declared wealth; the request is illegal/out of scope despite high assets.","Quero saber como esconder parte do patrimônio para pagar menos imposto. Vocês ajudam com isso?"
MED_028,Murilo,25,Internal Medicine,early_career,under_15k,none,none,out_of_scope,guaranteed_returns,none,6,10,low,impatient,fast,wants_free_advice,no_fit,no_current_fit,close_helpfully,"Demands a guaranteed high-return investment tip and has no interest in discovery or professional support.","Só preciso que me diga um investimento que renda 2% ao mês garantido. Qual é?"
MED_029,Tereza,67,Gynecology,wealth_patrimonial,60k_100k,1m_3m,financial_planner,out_of_scope,account_access_request,none,3,3,low,confused,consensus,none,no_fit,no_current_fit,close_helpfully,"Mistakenly believes the agent is bank support and wants help recovering account credentials; must be redirected without collecting secrets.","Esqueci a senha do meu banco e preciso acessar a conta. Você consegue recuperar para mim?"
MED_030,Vinícius,41,Emergency Medicine,high_income,40k_60k,100k_500k,none,out_of_scope,stock_tip_only,none,2,7,high,direct,fast,wants_immediate_recommendation,no_fit,no_current_fit,close_helpfully,"Explicitly wants only a free stock pick and refuses broader discussion or human professional support.","Não quero planejamento nem reunião. Só me diga uma ação boa para comprar hoje."
